Cycling T&NK,ILC3,MAIT,NK_CD16+,NK_CD56bright_CD16-,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8
DEK,IL4I1,NFKBIA,KLRD1,KLRF1,MT-ND4L,RPL11,B2M,IL6ST,PIK3R1,RPS8,RPS8,RPL13,SESN3,HLA-A,CD160,KLF6,COTL1
PCLAF,FOS,ZFP36,FCGR3A,GSTP1,MT-ND4,TPT1,HCST,RPL30,HLA-DRB1,RPL34,KLF2,RPS9,PELI1,HLA-DPA1,CD96,KLRB1,SRSF7
SMC4,LST1,NCR3,FCER1G,XCL2,MTRNR2L12,RPL34,SH3BGRL3,RPL36,NKG7,RPL18,EEF1A1,RPL32,TIGIT,CCL4,GZMA,IL7R,CKLF
PFN1,LINC00299,PRF1,EFHD2,GZMK,MT-ATP8,RPL18,FGFBP2,RPL9,CD74,RPS5,HSPA6,RPS5,TBC1D4,HLA-DRB1,CKLF,HSP90AB1,HSPH1
CFL1,SOX4,CEBPD,CYBA,NFKBIA,MT-ND6,RPL36A,CD52,SOCS3,CCL3,RPS27A,LEF1,RPS14,IKZF2,HCST,PTPN22,ANKRD28,HSPA1A
COX8A,IL1R1,MT-ND5,KLRF1,MATK,NEAT1,RPS12,LYAR,DUSP1,TUBA4A,RPL29,HSPH1,RPL14,RACK1,HLA-DPB1,JUND,CD2,LDLRAD4
RRM2,KLRB1,SLC4A10,ITGB2,CEBPD,MBNL1,RPL17,KLRG1,RPL37,HLA-DPA1,RPL18A,RPS12,RPL37,LDHB,IL32,CD247,TNFAIP3,ITGA1
H2AFV,DUSP1,CTSW,CLIC3,CCL3,PTPRC,RPL3,PRF1,BTG1,AOAH,RPL10,SELL,RPL10,PIM2,NKG7,CD63,FTH1,HSPA1B
PPIA,TYROBP,CST7,CCL4,CLIC3,CCNL1,RPS6,KLRD1,INPP4B,CXCR4,RPL22,RPS13,RPL22,RTKN2,CD8B,ANKRD28,HSP90AA1,CACYBP
NUSAP1,RUNX2,LCP1,GZMA,KLRB1,FUS,RPLP0,S100A6,RPS3,XCL2,RPS15A,BAG3,RPS8,PBXIP1,KLRG1,TRDC,LMNA,FOSB
